Nama;Gender;Tinggal_Dengan;Status_Kerja;Biaya;Tgl_Daftar_Kuliah;Alamat;UKM;Organisasi_Kampus;Lama_Kuliah;Fakultas
Cynthia Poulton;Wanita;Orang Tua;Bekerja;Orang Tua;2007;Jakarta;UKM_2;Ya;7;DKV
Cynthia Rixon;Wanita;NA;Belum;Beasiswa;2009;Bekasi;UKM_1;Tidak;7;FT
Cynthia Snow;Wanita;Orang Tua;Belum;Orang Tua;2007;Jakarta;UKM_3;Tidak;6,5;DKV
Cynthia Spencer;Pria;NA;Bekerja;Beasiswa;2008;Jakarta;UKM_3;Ya;6,5;FTI
Dakota Anderson;Wanita;NA;Bekerja;Beasiswa;2007;Bekasi;UKM_4;Tidak;3,5;FTI
Dakota Bayliss;Pria;NA;Belum;Beasiswa;2008;Serang;UKM_2;Tidak;3,5;FTI
Dakota Benson;Wanita;Orang Tua;Belum;Beasiswa;2009;Bogor;UKM_4;Tidak;5,5;FTI
Dakota Ebden;Wanita;NA;Belum;Beasiswa;2008;Tangerang;UKM_2;Ya;5,5;FTI
Dakota Grey;Pria;NA;Belum;NA;2007;Karawang;UKM_4;Ya;5;FISIP
Dakota Hall;Pria;Orang Tua;Belum;Orang Tua;2007;Bekasi;UKM_3;Ya;6,5;FTI
Dakota Harrison;Pria;Orang Tua;Belum;Orang Tua;2009;Serang;UKM_1;Ya;4,5;FT
Dakota Hunt;Pria;Kos;Belum;Beasiswa;2008;Jakarta;Tidak;Ya;6,5;FT
Dakota Jackson;Wanita;NA;Belum;Beasiswa;2008;Jakarta;UKM_2;Ya;6,5;FISIP
Dakota Jacobs;Pria;Orang Tua;Belum;Orang Tua;2007;Bogor;UKM_2;Ya;4,5;FISIP
Dakota Kelly;Pria;NA;Bekerja;Beasiswa;2008;Karawang;UKM_2;Ya;7;FT
Dakota May;Pria;Kos;Bekerja;Orang Tua;2008;Jakarta;UKM_3;Tidak;6;DKV
Dakota Niles;Pria;NA;Bekerja;Beasiswa;2009;Jakarta;Tidak;Ya;5;FTI
Dakota Parker;Pria;Kos;Bekerja;Orang Tua;2008;Serang;Tidak;Ya;6;FT
Dakota Poole;Pria;NA;Bekerja;NA;2008;Serang;UKM_1;Tidak;7;DKV
Dakota Reese;Pria;Kos;Belum;Beasiswa;2008;Bekasi;Tidak;Tidak;5,5;FISIP
Dakota Robertson;Pria;NA;Belum;NA;2009;Jakarta;UKM_1;Ya;4,5;FTI
Dakota Russell;Pria;Orang Tua;Belum;Orang Tua;2007;Bogor;UKM_1;Tidak;4;DKV
Dakota Simpson;Pria;Kos;Bekerja;NA;2009;Jakarta;UKM_4;Tidak;4;FT
Dakota Welsch;Wanita;Orang Tua;Bekerja;NA;2009;Bekasi;UKM_2;Ya;7;DKV
Dakota Wild;Wanita;Kos;Belum;Beasiswa;2009;Bogor;UKM_4;Ya;4;DKV
Dakota Wilkinson;Pria;NA;Bekerja;Beasiswa;2008;Bekasi;UKM_2;Tidak;7;FIKOM
Dakota Williams;Pria;Kos;Bekerja;Beasiswa;2007;Bogor;Tidak;Tidak;5;DKV
Dakota Willis;Wanita;Orang Tua;Belum;Beasiswa;2008;Karawang;UKM_3;Ya;4;DKV
Dalia Adler;Wanita;Kos;Belum;NA;2009;Bogor;UKM_1;Tidak;5,5;FTI
Dalia Bishop;Wanita;Orang Tua;Belum;Orang Tua;2008;Tangerang;UKM_4;Ya;7;FTI
Dalia Camden;Pria;Orang Tua;Bekerja;Beasiswa;2008;Jakarta;Tidak;Ya;7;FISIP
Dalia Chapman;Wanita;Orang Tua;Belum;Beasiswa;2007;Bekasi;Tidak;Ya;4,5;FISIP
Dalia Edwards;Pria;Orang Tua;Bekerja;Beasiswa;2009;Bogor;UKM_4;Tidak;6;FISIP
Dalia Faulkner;Pria;Orang Tua;Bekerja;NA;2008;Serang;Tidak;Tidak;3,5;FIKOM
Dalia Hobson;Pria;Orang Tua;Belum;NA;2007;Serang;UKM_3;Ya;4,5;FISIP
Dalia Hooper;Wanita;Kos;Bekerja;Beasiswa;2009;Bogor;UKM_2;Ya;4;DKV
Dalia John;Pria;Orang Tua;Belum;Orang Tua;2009;Jakarta;UKM_2;Ya;4;FIKOM
Dalia Newton;Wanita;NA;Bekerja;Orang Tua;2007;Jakarta;UKM_2;Ya;4,5;FT
Dalia Roberts;Pria;NA;Bekerja;Beasiswa;2009;Bekasi;UKM_3;Tidak;4;FTI
Dalia Scott;Pria;Kos;Belum;Beasiswa;2008;Serang;UKM_3;Ya;5,5;FIKOM
Dalia Seymour;Pria;NA;Bekerja;Beasiswa;2009;Bogor;UKM_1;Ya;4,5;FT
Dalia Thompson;Pria;Orang Tua;Bekerja;NA;2009;Serang;UKM_3;Tidak;5;FIKOM
Dalia Walsh;Pria;NA;Bekerja;Beasiswa;2007;Tangerang;UKM_4;Tidak;6,5;FTI
Dalia Weston;Wanita;NA;Belum;Orang Tua;2008;Jakarta;UKM_3;Tidak;4,5;FIKOM
Dalia Wilkinson;Wanita;Kos;Bekerja;NA;2009;Bekasi;UKM_1;Tidak;5;FIKOM
Dani Barclay;Wanita;Orang Tua;Belum;NA;2007;Serang;UKM_2;Tidak;3,5;FT
Dani Bolton;Wanita;Orang Tua;Belum;Beasiswa;2008;Bogor;UKM_1;Tidak;6;FISIP
Dani Daniells;Pria;Kos;Belum;NA;2008;Bekasi;Tidak;Ya;3,5;FISIP
Dani Drummond;Pria;Orang Tua;Bekerja;NA;2008;Bogor;UKM_2;Tidak;4;FT
Dani Goldsmith;Pria;Orang Tua;Bekerja;Orang Tua;2009;Jakarta;UKM_3;Tidak;5;FIKOM
Dani Isaac;Wanita;NA;Belum;NA;2009;Serang;UKM_1;Ya;5,5;FTI
Dani King;Wanita;Kos;Belum;Orang Tua;2009;Bogor;UKM_4;Tidak;6,5;FTI
Dani Martin;Wanita;NA;Belum;NA;2007;Bekasi;UKM_1;Ya;5,5;DKV
Dani May;Pria;Kos;Belum;Beasiswa;2009;Tangerang;UKM_1;Ya;6;FTI
Dani Owen;Wanita;NA;Bekerja;NA;2007;Tangerang;UKM_2;Ya;4,5;FT
Dani Power;Pria;NA;Bekerja;Orang Tua;2009;Jakarta;UKM_4;Tidak;6;DKV
Dani Stevens;Wanita;Orang Tua;Belum;Orang Tua;2007;Bogor;UKM_4;Ya;5,5;FIKOM
Dani Ward;Wanita;NA;Belum;NA;2009;Jakarta;UKM_1;Ya;5,5;FTI
Dani Wigley;Wanita;NA;Bekerja;NA;2007;Jakarta;UKM_1;Tidak;6,5;FT
Daniel Abbey;Wanita;Kos;Belum;Orang Tua;2008;Serang;Tidak;Ya;4;FTI
Daniel Alexander;Pria;Orang Tua;Bekerja;Orang Tua;2007;Serang;UKM_2;Tidak;6,5;DKV
Daniel Ballard;Wanita;Kos;Belum;Beasiswa;2008;Serang;UKM_1;Ya;5,5;DKV
Daniel Booth;Pria;Orang Tua;Belum;Orang Tua;2008;Tangerang;UKM_4;Ya;5;FISIP
Daniel Brown;Pria;Kos;Belum;Orang Tua;2007;Tangerang;UKM_1;Ya;4;FIKOM
Daniel Chappell;Wanita;Orang Tua;Belum;Beasiswa;2009;Tangerang;UKM_4;Tidak;6;FIKOM
Daniel Clifton;Wanita;Orang Tua;Belum;Beasiswa;2007;Karawang;UKM_4;Tidak;4;FISIP
Daniel Collins;Pria;Kos;Bekerja;Beasiswa;2008;Serang;UKM_2;Tidak;6;FT
Daniel Craig;Pria;Kos;Belum;Beasiswa;2007;Serang;UKM_4;Tidak;3,5;FIKOM
Daniel Denton;Pria;NA;Bekerja;NA;2008;Tangerang;UKM_3;Ya;6,5;FTI
Daniel Dixon;Pria;Orang Tua;Bekerja;NA;2008;Serang;UKM_4;Ya;5;FTI
Daniel Dunbar;Pria;Kos;Bekerja;Orang Tua;2009;Bogor;UKM_1;Tidak;5;FTI
Daniel Eaton;Pria;Orang Tua;Bekerja;Beasiswa;2008;Bogor;UKM_2;Ya;6;DKV
Daniel Ellery;Wanita;NA;Bekerja;NA;2009;Tangerang;UKM_3;Tidak;4,5;DKV
Daniel Fox;Pria;Kos;Belum;Orang Tua;2009;Bogor;UKM_3;Ya;4;FISIP
Daniel Gaynor;Wanita;Orang Tua;Belum;Orang Tua;2007;Karawang;Tidak;Ya;6;FISIP
Daniel Gordon;Wanita;Orang Tua;Belum;Orang Tua;2007;Jakarta;UKM_1;Tidak;4;FISIP
Daniel Harper;Pria;NA;Bekerja;Orang Tua;2008;Bogor;UKM_4;Tidak;6,5;FT
Daniel Harris;Wanita;Orang Tua;Belum;NA;2008;Serang;UKM_3;Tidak;5,5;DKV
Daniel Hunt;Wanita;Kos;Bekerja;NA;2007;Karawang;UKM_4;Ya;5,5;FTI
Daniel Jeffery;Wanita;Orang Tua;Belum;Orang Tua;2007;Bekasi;UKM_1;Tidak;6,5;FT
Daniel Johnson;Wanita;NA;Belum;Beasiswa;2007;Karawang;UKM_4;Tidak;3,5;FISIP
Daniel Kidd;Wanita;Kos;Belum;Orang Tua;2009;Bekasi;Tidak;Ya;6,5;FISIP
Daniel Knight;Wanita;Orang Tua;Belum;Beasiswa;2009;Tangerang;UKM_1;Tidak;5;FTI
Daniel Lewin;Wanita;Orang Tua;Belum;Orang Tua;2007;Tangerang;UKM_1;Tidak;5;DKV
Daniel Matthews;Pria;NA;Bekerja;Orang Tua;2007;Karawang;UKM_4;Tidak;6;FIKOM
Daniel Mcguire;Pria;NA;Bekerja;NA;2009;Bogor;UKM_4;Tidak;3,5;FIKOM
Daniel Mcneill;Pria;NA;Belum;Beasiswa;2007;Karawang;UKM_2;Ya;5;FT
Daniel Miller;Wanita;Kos;Belum;Orang Tua;2009;Tangerang;Tidak;Ya;4,5;FISIP
Daniel Morrison;Wanita;NA;Bekerja;NA;2008;Karawang;UKM_1;Ya;5;FISIP
Daniel Mould;Pria;Kos;Bekerja;NA;2007;Bekasi;UKM_3;Tidak;4,5;FT
Daniel Mullins;Wanita;Kos;Belum;Orang Tua;2009;Karawang;UKM_1;Tidak;4;FTI
Daniel Murray;Pria;Orang Tua;Belum;NA;2009;Tangerang;Tidak;Ya;6;FIKOM
Daniel Needham;Wanita;NA;Belum;Orang Tua;2007;Jakarta;UKM_3;Ya;4;FTI
Daniel Newman;Pria;Orang Tua;Belum;NA;2007;Bogor;UKM_2;Tidak;4,5;DKV
Daniel Nicolas;Pria;Kos;Belum;Beasiswa;2009;Serang;Tidak;Tidak;6;FIKOM
Daniel Norburn;Wanita;NA;Bekerja;Beasiswa;2009;Serang;UKM_2;Ya;6,5;FISIP
Daniel Norris;Wanita;NA;Belum;Orang Tua;2009;Serang;UKM_4;Tidak;3,5;FISIP
Daniel Notman;Wanita;NA;Bekerja;NA;2007;Karawang;UKM_2;Ya;4;FT
Daniel Ogilvy;Wanita;Kos;Bekerja;Orang Tua;2007;Bogor;UKM_2;Ya;6;FISIP
Daniel Quinn;Pria;Orang Tua;Bekerja;Orang Tua;2008;Tangerang;UKM_1;Ya;4,5;FT
Daniel Quinnell;Wanita;Orang Tua;Bekerja;Beasiswa;2009;Bogor;UKM_1;Tidak;5;FTI
Daniel Reading;Pria;Kos;Belum;Beasiswa;2008;Tangerang;UKM_2;Ya;4;FISIP
Daniel Reynolds;Pria;Orang Tua;Bekerja;Beasiswa;2009;Jakarta;UKM_4;Ya;5;FTI
Daniel Richardson;Wanita;Kos;Belum;Beasiswa;2007;Bekasi;UKM_4;Tidak;5,5;FISIP
Daniel Roberts;Wanita;Orang Tua;Belum;NA;2009;Bogor;Tidak;Tidak;4,5;FISIP
Daniel Rose;Pria;Orang Tua;Bekerja;NA;2008;Karawang;Tidak;Ya;6,5;FT
Daniel Ross;Pria;NA;Bekerja;NA;2008;Jakarta;UKM_3;Ya;5;DKV
Daniel Rust;Wanita;Orang Tua;Belum;Beasiswa;2009;Serang;UKM_2;Tidak;5,5;FISIP
Daniel Shelton;Pria;NA;Bekerja;NA;2009;Bekasi;UKM_1;Ya;5,5;FISIP
Daniel Simmons;Wanita;Kos;Belum;NA;2008;Karawang;Tidak;Tidak;6,5;FISIP
Daniel Speed;Pria;Kos;Belum;Beasiswa;2009;Jakarta;UKM_2;Ya;5,5;DKV
Daniel Summers;Pria;Kos;Bekerja;Beasiswa;2007;Tangerang;UKM_4;Ya;4;FISIP
Daniel Tate;Pria;Orang Tua;Belum;Beasiswa;2009;Karawang;UKM_2;Tidak;4;DKV
Daniel Vincent;Wanita;Kos;Bekerja;NA;2008;Bekasi;UKM_2;Tidak;3,5;FIKOM
Daniel Vollans;Pria;Orang Tua;Belum;NA;2007;Bekasi;UKM_4;Tidak;6;FISIP
Daniel Walker;Pria;Orang Tua;Bekerja;Orang Tua;2008;Bekasi;UKM_3;Tidak;3,5;FT
Daniel Warden;Wanita;Orang Tua;Belum;Orang Tua;2007;Serang;UKM_3;Tidak;4;DKV
Daniel Wright;Wanita;Kos;Belum;Beasiswa;2007;Jakarta;UKM_4;Ya;7;FIKOM
Danielle Andrews;Wanita;NA;Belum;Beasiswa;2007;Bogor;Tidak;Tidak;4,5;FIKOM
Danielle Blackwall;Pria;NA;Belum;Orang Tua;2009;Serang;UKM_2;Tidak;7;FT
Danielle Cann;Pria;Orang Tua;Bekerja;Orang Tua;2007;Bogor;UKM_3;Ya;5;FISIP
Danielle Gray;Wanita;Kos;Belum;Orang Tua;2009;Bekasi;UKM_2;Ya;4,5;FT
Danielle Hamilton;Wanita;NA;Bekerja;Beasiswa;2009;Bogor;UKM_2;Ya;5,5;FT
Danielle Jackson;Pria;NA;Belum;NA;2008;Jakarta;UKM_3;Tidak;6;FT
Danielle Johnson;Pria;Orang Tua;Bekerja;Beasiswa;2009;Jakarta;UKM_2;Ya;4;FT
Danielle Knight;Pria;Kos;Belum;NA;2008;Serang;Tidak;Tidak;5;FTI
Danielle Moran;Pria;Orang Tua;Bekerja;Beasiswa;2008;Serang;UKM_3;Ya;5;DKV
Danielle Nayler;Wanita;NA;Belum;Beasiswa;2009;Tangerang;Tidak;Tidak;4,5;FT
Danielle Simpson;Wanita;NA;Bekerja;Orang Tua;2008;Bogor;UKM_2;Tidak;6,5;FIKOM
Danielle Thorne;Wanita;NA;Belum;Beasiswa;2008;Karawang;UKM_2;Ya;5,5;FIKOM
Danielle Waterson;Wanita;NA;Belum;NA;2009;Karawang;UKM_2;Ya;6;FIKOM
Danny Andrews;Wanita;Kos;Bekerja;Orang Tua;2008;Serang;UKM_2;Ya;4;FT
Danny Bailey;Pria;Orang Tua;Belum;Beasiswa;2007;Jakarta;Tidak;Tidak;7;FIKOM
Danny Baker;Pria;Kos;Belum;Beasiswa;2007;Karawang;UKM_3;Tidak;5;DKV
Danny Barclay;Wanita;Orang Tua;Belum;Orang Tua;2009;Bogor;UKM_3;Ya;5,5;DKV
Danny Beal;Pria;NA;Belum;NA;2009;Serang;UKM_3;Ya;5;FT
Danny Benfield;Pria;Orang Tua;Belum;Beasiswa;2007;Bekasi;Tidak;Ya;5,5;FTI
Danny Benson;Wanita;NA;Belum;NA;2007;Tangerang;Tidak;Ya;6;FTI
Danny Bolton;Pria;Kos;Bekerja;NA;2009;Tangerang;UKM_3;Tidak;6;FTI
Danny Brennan;Pria;Kos;Bekerja;Orang Tua;2009;Bekasi;UKM_4;Ya;3,5;FISIP
Danny Buckley;Pria;Kos;Bekerja;NA;2008;Bekasi;UKM_4;Ya;4,5;FTI
Danny Coates;Wanita;Kos;Belum;Beasiswa;2009;Karawang;UKM_1;Tidak;4;FIKOM
Danny Coleman;Wanita;Kos;Belum;NA;2008;Jakarta;UKM_2;Ya;4;DKV
Danny Cooper;Wanita;NA;Bekerja;Orang Tua;2008;Tangerang;UKM_2;Tidak;6,5;FIKOM
Danny Cork;Pria;Orang Tua;Belum;Beasiswa;2007;Jakarta;Tidak;Tidak;5;FIKOM
Danny Daniells;Pria;NA;Belum;Orang Tua;2008;Bekasi;Tidak;Tidak;6,5;FTI
Danny Dunbar;Wanita;Kos;Bekerja;Beasiswa;2008;Serang;UKM_3;Tidak;6;FT
Danny Eddison;Wanita;NA;Bekerja;NA;2008;Serang;UKM_1;Tidak;6;DKV
Danny Evans;Wanita;Orang Tua;Bekerja;NA;2008;Bekasi;UKM_1;Tidak;6,5;FTI
Danny Farrow;Wanita;Orang Tua;Bekerja;Beasiswa;2008;Bekasi;UKM_2;Ya;3,5;FISIP
Danny Forester;Wanita;Orang Tua;Bekerja;NA;2009;Tangerang;UKM_4;Ya;3,5;FIKOM
Danny Hale;Pria;Kos;Bekerja;Orang Tua;2008;Tangerang;Tidak;Tidak;5;FT
Danny Heaton;Wanita;Orang Tua;Bekerja;Orang Tua;2007;Bogor;UKM_1;Tidak;4;FTI
Danny James;Wanita;Orang Tua;Bekerja;Orang Tua;2009;Tangerang;UKM_2;Ya;7;FTI
Danny Knight;Pria;Kos;Bekerja;Beasiswa;2009;Serang;UKM_4;Ya;5,5;DKV
Danny Mcneill;Pria;NA;Belum;Orang Tua;2007;Tangerang;UKM_1;Ya;6;FIKOM
Danny Mould;Pria;Kos;Belum;Beasiswa;2009;Tangerang;UKM_4;Tidak;5,5;FISIP
Danny Nurton;Pria;Orang Tua;Bekerja;Beasiswa;2009;Karawang;UKM_3;Ya;3,5;FISIP
Danny Osmond;Wanita;Kos;Belum;Orang Tua;2009;Bogor;Tidak;Tidak;7;FIKOM
Danny Owen;Wanita;NA;Belum;Orang Tua;2008;Jakarta;UKM_2;Tidak;4;FT
Danny Parr;Pria;Orang Tua;Belum;Orang Tua;2009;Jakarta;UKM_4;Tidak;5,5;FT
Danny Radcliffe;Wanita;Kos;Belum;NA;2007;Bekasi;UKM_3;Ya;4,5;FIKOM
Danny Redden;Pria;NA;Bekerja;Orang Tua;2009;Bogor;UKM_2;Tidak;3,5;FIKOM
Danny Redfern;Wanita;Kos;Bekerja;Beasiswa;2007;Tangerang;UKM_3;Tidak;6,5;FT
Danny Reid;Pria;Orang Tua;Bekerja;Orang Tua;2009;Tangerang;UKM_3;Ya;3,5;FIKOM
Danny Rivers;Pria;Orang Tua;Belum;Orang Tua;2009;Bekasi;UKM_3;Ya;4;FISIP
Danny Rixon;Wanita;Kos;Bekerja;Orang Tua;2009;Karawang;UKM_3;Ya;4,5;FIKOM
Danny Robe;Pria;Kos;Belum;NA;2008;Tangerang;UKM_3;Ya;5,5;FT
Danny Rose;Wanita;Orang Tua;Belum;Orang Tua;2009;Bogor;UKM_1;Ya;3,5;DKV
Danny Rossi;Pria;Kos;Bekerja;NA;2008;Tangerang;UKM_4;Tidak;3,5;FT
Danny Sanchez;Pria;NA;Belum;NA;2009;Karawang;UKM_3;Tidak;4,5;FISIP
Danny Saunders;Pria;Kos;Belum;NA;2007;Tangerang;UKM_1;Tidak;4,5;FIKOM
Danny Sinclair;Wanita;NA;Bekerja;NA;2008;Bogor;UKM_2;Tidak;5;FIKOM
Danny Spencer;Wanita;NA;Bekerja;Beasiswa;2007;Karawang;Tidak;Tidak;4;DKV
Danny Stark;Wanita;Kos;Bekerja;Orang Tua;2007;Bogor;UKM_1;Tidak;6,5;DKV
Danny Stevenson;Pria;Orang Tua;Bekerja;NA;2009;Bogor;UKM_3;Ya;6,5;FT
Danny Tate;Pria;NA;Bekerja;Orang Tua;2009;Karawang;UKM_3;Tidak;7;FT
Danny Thompson;Wanita;Orang Tua;Belum;Orang Tua;2007;Bogor;Tidak;Tidak;4;FTI
Danny Tindall;Pria;Orang Tua;Belum;Orang Tua;2009;Bogor;UKM_4;Tidak;3,5;FIKOM
Danny Townend;Wanita;Kos;Belum;Orang Tua;2009;Bogor;UKM_4;Tidak;4;FTI
Danny Vallory;Pria;Orang Tua;Belum;NA;2009;Serang;UKM_1;Tidak;5;FIKOM
Danny Ventura;Pria;Orang Tua;Belum;Orang Tua;2008;Jakarta;Tidak;Tidak;6,5;FT
Danny Widdows;Wanita;Kos;Bekerja;Orang Tua;2009;Tangerang;UKM_3;Ya;7;FT
Danny Wright;Pria;Orang Tua;Belum;NA;2008;Bekasi;UKM_1;Ya;6;FISIP
Daphne Flett;Wanita;Kos;Belum;Beasiswa;2008;Tangerang;UKM_3;Tidak;3,5;DKV
Daphne Gilbert;Pria;Kos;Belum;Beasiswa;2009;Jakarta;Tidak;Tidak;6,5;FTI
Daphne Gonzales;Pria;NA;Belum;Beasiswa;2007;Bekasi;UKM_3;Ya;6,5;FTI
Daphne Jacobs;Pria;Orang Tua;Bekerja;NA;2009;Jakarta;UKM_1;Tidak;4;FTI
Daphne Keys;Wanita;Orang Tua;Bekerja;Orang Tua;2007;Serang;Tidak;Tidak;4;FTI
Daphne Leslie;Pria;Orang Tua;Bekerja;Beasiswa;2007;Serang;UKM_4;Tidak;4,5;FIKOM
Daphne Moore;Wanita;NA;Bekerja;NA;2009;Bogor;UKM_2;Ya;6,5;FIKOM
Daphne Nobbs;Pria;NA;Bekerja;Beasiswa;2008;Bogor;UKM_4;Ya;7;FISIP
Daphne Ripley;Pria;Kos;Belum;Orang Tua;2009;Karawang;UKM_2;Ya;3,5;DKV
Daphne Steer;Wanita;Kos;Belum;Beasiswa;2007;Bogor;UKM_3;Ya;5,5;FTI
Daphne Victor;Wanita;NA;Belum;Beasiswa;2007;Tangerang;UKM_2;Ya;4;FTI
Daphne Windsor;Pria;Kos;Bekerja;Beasiswa;2007;Bekasi;UKM_2;Tidak;7;FTI
Daphne Young;Pria;Orang Tua;Bekerja;Beasiswa;2008;Bogor;UKM_3;Ya;6,5;FTI
Daria Allcott;Pria;Orang Tua;Belum;NA;2009;Bekasi;Tidak;Ya;4,5;DKV
Daria Allington;Wanita;NA;Bekerja;Orang Tua;2007;Bogor;UKM_1;Tidak;6,5;FTI
Daria Booth;Wanita;Kos;Bekerja;Orang Tua;2007;Bekasi;UKM_1;Ya;5;DKV
Daria Cartwright;Pria;Orang Tua;Belum;Orang Tua;2008;Bogor;Tidak;Ya;5,5;FT
Daria Clark;Pria;Kos;Bekerja;NA;2008;Serang;UKM_1;Tidak;3,5;DKV
Daria Dann;Pria;Kos;Bekerja;NA;2009;Bogor;UKM_2;Ya;5;DKV
Daria Davies;Wanita;Kos;Belum;NA;2009;Karawang;UKM_3;Ya;7;FISIP
Daria Downing;Pria;Orang Tua;Belum;Beasiswa;2009;Tangerang;UKM_3;Tidak;4,5;FTI
Daria Eagle;Wanita;NA;Bekerja;Orang Tua;2009;Bekasi;UKM_1;Ya;6;FIKOM
Daria Fowler;Wanita;Kos;Bekerja;NA;2009;Bogor;UKM_1;Ya;4,5;FTI
Daria Griffiths;Pria;NA;Belum;NA;2008;Bekasi;UKM_2;Tidak;7;DKV
Daria Hamilton;Wanita;NA;Belum;Orang Tua;2007;Jakarta;Tidak;Ya;5;FTI
Daria Kelly;Wanita;Kos;Bekerja;NA;2009;Serang;UKM_1;Tidak;7;FTI
Daria Phillips;Wanita;Orang Tua;Belum;NA;2008;Bekasi;UKM_2;Tidak;6;FISIP
Daria Price;Pria;Orang Tua;Belum;NA;2009;Tangerang;UKM_2;Tidak;5;FT
Daria Roberts;Wanita;NA;Belum;Beasiswa;2008;Tangerang;UKM_4;Ya;3,5;FTI
Daria Rogers;Pria;Orang Tua;Bekerja;Orang Tua;2009;Jakarta;UKM_2;Tidak;4;FIKOM
Daria Roth;Wanita;Orang Tua;Belum;Beasiswa;2009;Serang;UKM_2;Tidak;3,5;FTI
Daria Walton;Pria;NA;Belum;Orang Tua;2007;Serang;UKM_1;Ya;6,5;DKV
Daria Ward;Wanita;Kos;Belum;Beasiswa;2009;Jakarta;UKM_3;Ya;4;FISIP
Darlene Bell;Wanita;NA;Bekerja;Beasiswa;2007;Bekasi;UKM_1;Tidak;5,5;FT
Darlene Brett;Pria;Orang Tua;Belum;Orang Tua;2009;Karawang;Tidak;Tidak;3,5;DKV
Darlene Cork;Wanita;Kos;Belum;Beasiswa;2007;Bekasi;Tidak;Ya;4,5;DKV
Darlene Lunt;Wanita;Kos;Belum;NA;2009;Serang;UKM_3;Tidak;3,5;DKV
Darlene Mccall;Pria;Kos;Bekerja;Orang Tua;2008;Tangerang;UKM_4;Tidak;5,5;FT
Darlene Roberts;Wanita;Orang Tua;Belum;Beasiswa;2008;Bekasi;UKM_3;Ya;6;FTI
Darlene Ross;Wanita;NA;Belum;NA;2008;Jakarta;UKM_1;Ya;5,5;DKV
Darlene Rust;Pria;Kos;Belum;Orang Tua;2009;Tangerang;Tidak;Tidak;5,5;FT
Darlene Ryan;Wanita;Orang Tua;Belum;Beasiswa;2009;Karawang;UKM_1;Ya;3,5;FTI
Darlene Snell;Pria;NA;Bekerja;Orang Tua;2009;Tangerang;UKM_1;Tidak;4;DKV
Daron Atkinson;Wanita;Orang Tua;Belum;Beasiswa;2009;Jakarta;UKM_3;Ya;4;FTI
Daron Bayliss;Wanita;NA;Bekerja;NA;2008;Bekasi;UKM_1;Tidak;4,5;FISIP
Daron Cadman;Pria;NA;Bekerja;Beasiswa;2008;Serang;UKM_2;Tidak;7;DKV
Daron Campbell;Wanita;Orang Tua;Belum;Beasiswa;2009;Serang;UKM_1;Tidak;4;FISIP
Daron Coates;Pria;Orang Tua;Belum;Orang Tua;2009;Bogor;Tidak;Ya;4;FIKOM
Daron Crawley;Wanita;NA;Bekerja;Beasiswa;2009;Bekasi;UKM_1;Tidak;6,5;FT
Daron Downing;Wanita;NA;Belum;Beasiswa;2007;Tangerang;UKM_4;Tidak;7;FT
Daron Emerson;Wanita;NA;Bekerja;Orang Tua;2008;Serang;UKM_2;Ya;6;FISIP
Daron Gregory;Pria;Orang Tua;Bekerja;NA;2008;Bogor;UKM_3;Tidak;6,5;DKV
Daron Herbert;Wanita;NA;Bekerja;Orang Tua;2007;Tangerang;UKM_4;Tidak;6,5;FIKOM
Daron Hudson;Wanita;Kos;Belum;Orang Tua;2008;Bogor;UKM_1;Tidak;4;FISIP
Daron Huggins;Pria;NA;Belum;Orang Tua;2009;Bogor;UKM_3;Tidak;3,5;FIKOM
Daron Jackson;Wanita;Kos;Bekerja;NA;2007;Serang;UKM_3;Tidak;4,5;FIKOM
Daron Kennedy;Pria;NA;Belum;Orang Tua;2009;Bekasi;UKM_3;Ya;6;FT
Daron Knight;Pria;Orang Tua;Bekerja;Beasiswa;2009;Jakarta;UKM_2;Ya;6,5;FIKOM
Daron Matthews;Pria;Orang Tua;Belum;Orang Tua;2007;Bekasi;UKM_1;Tidak;5;DKV
Daron Mcnally;Pria;Orang Tua;Belum;Orang Tua;2007;Jakarta;UKM_2;Ya;6,5;FISIP
Daron Murray;Pria;Kos;Bekerja;Beasiswa;2009;Bogor;UKM_1;Tidak;4;FISIP
Daron Olivier;Pria;Kos;Belum;Orang Tua;2009;Bogor;Tidak;Ya;4;FT
Daron Owen;Pria;NA;Bekerja;Orang Tua;2009;Bogor;UKM_4;Tidak;5;FISIP
Daron Parker;Wanita;Kos;Belum;Orang Tua;2008;Karawang;UKM_2;Tidak;4;FIKOM
Daron Pickard;Wanita;NA;Bekerja;NA;2007;Serang;UKM_2;Tidak;6;FIKOM
Daron Plumb;Pria;Kos;Bekerja;Orang Tua;2009;Bogor;Tidak;Tidak;6,5;FIKOM
Daron Redfern;Pria;Kos;Belum;NA;2008;Jakarta;UKM_1;Tidak;5,5;FT
Daron Reese;Pria;NA;Bekerja;Orang Tua;2008;Bekasi;UKM_2;Tidak;6;FISIP
Daron Reynolds;Wanita;NA;Bekerja;Beasiswa;2007;Karawang;UKM_3;Ya;6;FTI
Daron Richardson;Wanita;Kos;Bekerja;Orang Tua;2007;Jakarta;UKM_2;Tidak;4;DKV
Daron Robe;Wanita;Orang Tua;Belum;Beasiswa;2009;Bogor;UKM_4;Ya;5;DKV
Daron Shaw;Wanita;NA;Belum;Beasiswa;2009;Bogor;Tidak;Ya;6;FTI
